Time (s),Thermistor,Conductive Band
9.200000000000001,540,4025
9.3,399,4025
9.4,263,4021
9.5,124,4021
9.600000000000001,12,4023
9.700000000000001,0,4017
9.8,349,4023
9.9,662,4029
10.0,912,4021
10.100000000000001,1095,4017
10.200000000000001,1233,0
10.3,1354,0
10.4,1448,0
10.5,1513,0
10.600000000000001,1563,0
10.700000000000001,1602,0
10.8,1627,0
10.9,1654,0
11.0,1667,0
11.100000000000001,1668,0
11.200000000000001,1590,4021
11.3,1467,4023
11.4,1319,4023
11.5,1160,4023
11.600000000000001,995,4023
11.700000000000001,836,4021
11.8,680,4023
11.9,529,4023
12.0,388,4023
12.100000000000001,247,4021
12.200000000000001,123,4019
12.3,1,4027
12.4,0,4019
12.5,0,4021
12.600000000000001,0,4011
12.700000000000001,19,4023
12.8,402,4021
12.9,699,4023
13.0,923,0
13.100000000000001,1085,0
13.200000000000001,1213,0
13.3,1313,0
13.4,1395,0
13.5,1460,0
13.600000000000001,1514,0
13.700000000000001,1561,0
13.8,1597,0
13.9,1627,0
14.0,1644,0
14.100000000000001,1644,0
14.200000000000001,1564,4021
14.3,1426,4025
14.4,1273,4027
14.5,1109,4023
14.600000000000001,946,4025
14.700000000000001,787,4023
14.8,639,4019
14.9,499,4021
15.0,363,4023
15.100000000000001,237,4025
15.200000000000001,108,4035
15.3,0,4021
15.4,0,4019
15.5,0,4021
15.600000000000001,0,4019
15.700000000000001,13,4023
15.8,374,4021
15.9,661,4025
16.0,886,4023
16.1,1070,0
16.2,1209,0
16.3,1321,0
16.400000000000002,1414,0
16.5,1480,0
16.6,1535,0
16.7,1563,0
16.8,1592,0
16.900000000000002,1618,0
17.0,1627,0
17.1,1629,0
17.2,1605,4019
17.3,1511,4023
17.400000000000002,1386,4025
17.5,1252,4023
17.6,1121,4023
17.7,980,4017
17.8,844,4023
17.900000000000002,698,4023
18.0,575,4025
18.1,441,4021
18.2,310,4021
18.3,191,4023
18.400000000000002,81,4021
18.5,0,4023
18.6,0,4021
18.7,101,4025
18.8,450,4025
18.900000000000002,727,4023
19.0,930,4025
19.1,1091,4023
19.200000000000003,1210,0
19.3,1313,0
19.400000000000002,1395,0
19.5,1453,0
19.6,1508,0
19.700000000000003,1547,0
19.8,1580,0
19.900000000000002,1617,0
20.0,1647,0
20.1,1662,0
20.200000000000003,1665,0
20.3,1602,4023
20.400000000000002,1490,4021
20.5,1347,4023
20.6,1197,4025
20.700000000000003,1043,4023
20.8,890,4023
20.900000000000002,752,4021
21.0,610,4025
21.1,488,4025
21.200000000000003,371,4019
21.3,260,4025
21.400000000000002,149,4021
21.5,46,4023
21.6,0,4023
21.700000000000003,0,4023
21.8,331,4023
21.900000000000002,657,0
22.0,897,0
22.1,1083,0
22.200000000000003,1225,0
22.3,1337,0
22.400000000000002,1431,0
22.5,1503,0
22.6,1553,0
22.700000000000003,1602,0
22.8,1635,0
22.900000000000002,1667,0
23.0,1687,0
23.1,1714,4023
23.200000000000003,1653,4025
23.3,1552,4023
23.400000000000002,1409,4023
23.5,1267,4023
23.6,1114,4009
23.700000000000003,970,4025
23.8,839,4019
23.900000000000002,706,4021
24.0,577,4019
24.1,447,4021
24.200000000000003,326,4023
24.3,205,4021
24.400000000000002,91,4021
24.5,0,4017
24.6,0,4023
24.700000000000003,16,4023
24.8,384,4027
24.900000000000002,686,0
25.0,921,0
25.1,1098,0
25.200000000000003,1237,0
25.3,1348,0
25.400000000000002,1436,0
25.5,1503,0
25.6,1552,0
25.700000000000003,1591,0
25.8,1626,0
25.900000000000002,1646,0
26.0,1651,4021
26.1,1590,4023
26.200000000000003,1479,4023
26.3,1352,4023
26.400000000000002,1219,4023
26.5,1082,4021
26.6,937,4025
26.700000000000003,794,4023
26.8,650,4019
26.900000000000002,513,4021
27.0,382,4021
27.1,244,4021
27.200000000000003,125,4025
27.3,7,4021
27.400000000000002,0,4021
27.5,0,4025
27.6,0,4021
27.700000000000003,0,4025
27.8,143,4021
27.900000000000002,495,4016
28.0,764,4025
28.1,976,4013
28.200000000000003,1134,0
28.3,1267,0
28.400000000000002,1374,0
28.5,1451,0
28.6,1501,0
28.700000000000003,1548,0
28.8,1591,0
28.900000000000002,1617,0
29.0,1642,0
29.1,1650,0
29.200000000000003,1573,4025
29.3,1445,4021
29.400000000000002,1292,4023
29.5,1137,4021
29.6,980,4023
29.700000000000003,832,4023
29.8,686,4021
29.900000000000002,549,4021
